is_number,title,reviewed_in,status,department,technical_committee,number_of_revisions,number_of_amendments,type_of_standard,reaffirmation_year,source_url,search_keyword,superseding_is,group,sub_group,sub_sub_group,relevant_ministries,short_common_man_title,certification,search_text,semantic_score,faiss_rank
IS 6884:1983,Dental Silicate Cement,2021.0,Withdrawn,Medical Equipment And Hospital Planning Department(MHD),MHD 08 - Dentistry,01,No amendment issued,Unknown,--,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IkhFMlpabmF6Q1NpN1R0WkxjMkU5T3c9PSIsInZhbHVlIjoiaFN2ckFGNkVGbnIxUUFGYVMxNnVaZz09IiwibWFjIjoiNmMyMDBjZjQ0ODc3YjhhNzEzZWM5MjdlYTZhNjNkNWJjYjZlMjhlZmI3YzE0MmU2OGFjOGNkZjVmZTZiMmI3MSIsInRhZyI6IiJ9&standardNumber=IS%206884:1983,cement,Not Available,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,dental silicate cement. medical equipment and hospital planning department(mhd). mhd 08 - dentistry,0.57693136,11
IS 516 (Part 11):2020,Hardened Concrete - Methods of Test: Part 11 Determination of Portland Cement Content of Hardened Hydraulic Cement Concrete ( First Revision ),2024.0,Current,Civil Engineering Department(CED),CED 02 - Cement And Concrete,New Standard,No amendment issued,Methods of tests,"Sep, 2024",https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IjhIRlZ4TW1LK2pwRUZvTy9uNy9QS0E9PSIsInZhbHVlIjoiMG5Ka1ZORW9QQVBGU0hHKzNVbnU4Zz09IiwibWFjIjoiMjI0MWNjNjQ1NmE4ZDcyNzI1NzNkYzcwZmM4YTJjZmMyOGFkMGNhNzlhMmEwMDk4ZTYyMDMzMmMwMGU5NTk3ZSIsInRhZyI6IiJ9&standardNumber=IS%20516%20(Part%2011):2020,concrete,Not Available,Civil Engineering Design and Construction,"Construction practices, measurement and management","General Construction, Painting and Glazing",Ministry of Housing and Urban Poverty Alleviation,Cement content of OPC,Unknown,"hardened concrete - methods of test: part 11 determination of portland cement content of hardened hydraulic cement concrete ( first revision ). civil engineering design and construction. construction practices, measurement and management. general construction, painting and glazing. cement content of opc. civil engineering department(ced). ced 02 - cement and concrete. methods of tests. ministry of housing and urban poverty alleviation",0.5753002,12
IS 516 (Part 11):2020,Hardened Concrete - Methods of Test: Part 11 Determination of Portland Cement Content of Hardened Hydraulic Cement Concrete ( First Revision ),2024.0,Current,Civil Engineering Department(CED),CED 02 - Cement And Concrete,New Standard,No amendment issued,Methods of tests,"Sep, 2024",https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IkFBaHJQYTdYaHcrUUdXS3JMY2RXS1E9PSIsInZhbHVlIjoiaUY2d1JSZ1JlRXlydDZ4ZVlqVHU4UT09IiwibWFjIjoiZmE4MjA1OTE3Yzc4MzA3ZTU2ZDc4NjdhNWVhZjQxYTYzZTYyYTQyY2MyYjI5YTAwNzYwNTk0ZjljNjgyMzQxMCIsInRhZyI6IiJ9&standardNumber=IS%20516%20(Part%2011):2020,cement,Not Available,Civil Engineering Design and Construction,"Construction practices, measurement and management","General Construction, Painting and Glazing",Ministry of Housing and Urban Poverty Alleviation,Cement content of OPC,Unknown,"hardened concrete - methods of test: part 11 determination of portland cement content of hardened hydraulic cement concrete ( first revision ). civil engineering design and construction. construction practices, measurement and management. general construction, painting and glazing. cement content of opc. civil engineering department(ced). ced 02 - cement and concrete. methods of tests. ministry of housing and urban poverty alleviation",0.5753002,13
IS 455:2015,Portland slag cement - Specification (fifth revision),2025.0,Current,Civil Engineering Department(CED),CED 02 - Cement And Concrete,05,02,Product Specification,"Dec, 2025",https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6ImltVmJXWEg5YmUwdTl6c3JHdkNGWFE9PSIsInZhbHVlIjoiTjlQR3FtSGNNWGFpU1k4dlBDL3lIUT09IiwibWFjIjoiN2ExMmZmYmJiNTcxNzg1NTA2MjYyMWE3ZjJkYmQ4MTU4NzBkMzE3YmNlMmJmYWJiNjRjNGJiNTQ3Y2Y2NDc4NCIsInRhZyI6IiJ9&standardNumber=IS%20455:2015,cement,Not Available,Building Materials including Paints,"Cement, concrete and Allied Products",Cement and its Testing,"Ministry of Commerce and Industry - Department for Promotion of Industry and Internal Trade (DPIIT), Ministry of Housing and Urban Affairs",Portland Slag Cement,Mandatory Certification,"portland slag cement - specification (fifth revision). building materials including paints. cement, concrete and allied products. cement and its testing. portland slag cement. civil engineering department(ced). ced 02 - cement and concrete. product specification. ministry of commerce and industry - department for promotion of industry and internal trade (dpiit), ministry of housing and urban affairs",0.57343405,14
IS 8043:2026,Hydrophobic Portland Cement Specification Third Revision of IS 8043,Unknown,Unknown,Civil Engineering Department(CED),CED 02 - Cement And Concrete,03,No amendment issued,Product Specification,--,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6InZsMjN0ZUszK25oOHNjbmlBckw5MlE9PSIsInZhbHVlIjoiZlBXZzRjaFIvMU9UMFVVVmZFc2d0dz09IiwibWFjIjoiOTc2Y2YyZjY5YjM5MDNlNWJhYzA4OTk2NDliNjAyMDViZjJmNDdkMGE2YmQ3ODZlZGQ0YWU4NjFjMzdmYzFlYyIsInRhZyI6IiJ9&standardNumber=IS%208043:2026,cement,IS 8043:1991,Civil Engineering Design and Construction,Concrete structures,Special Structures,"Ministry of Consumer Affairs, Food and Public Distribution - Department of Consumer Affairs",Unknown,Unknown,"hydrophobic portland cement specification third revision of is 8043. civil engineering design and construction. concrete structures. special structures. civil engineering department(ced). ced 02 - cement and concrete. product specification. ministry of consumer affairs, food and public distribution - department of consumer affairs",0.55880606,15
IS 8041:2026,Rapid Hardening Portland Cement Specification Third Revision of IS 8041,Unknown,Unknown,Civil Engineering Department(CED),CED 02 - Cement And Concrete,03,No amendment issued,Product Specification,--,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6Im9HVVNDK1ZsQ2ZxZk5TMGgvT0R5RlE9PSIsInZhbHVlIjoiQnM4YnRLc0tGc3d3MUU4UmpkdnNXQT09IiwibWFjIjoiZWIyZTIzNDk4Yzc2ZjFlNjAxYjExMjc2YTUxNWY4MWE1YTExN2E5NWQyMWQxYWY0MGVjZjkzNzQxYmVhNmY0ZiIsInRhZyI6IiJ9&standardNumber=IS%208041:2026,cement,IS 8041:1990,Civil Engineering Design and Construction,Concrete structures,Special Structures,"Ministry of Consumer Affairs, Food and Public Distribution - Department of Consumer Affairs",Unknown,Mandatory Certification,"rapid hardening portland cement specification third revision of is 8041. civil engineering design and construction. concrete structures. special structures. civil engineering department(ced). ced 02 - cement and concrete. product specification. ministry of consumer affairs, food and public distribution - department of consumer affairs",0.55601513,16
IS 455:1989,Portland Slag Cement - Specification,Unknown,Withdrawn,Civil Engineering Department(CED),CED 02 - Cement And Concrete,04,06,Product Specification,"Jan, 2009",https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IlpEWG1GNkd0N0V2cFdaZ3VLZ3RqZUE9PSIsInZhbHVlIjoiRlE4T3RKOHNDdnV2OFhYenpsY0FmQT09IiwibWFjIjoiMmEyYjgxNTM4ZDBjY2Y4NmVlZjE5OWVlNTgxYTE2ODAzZTE4MjcwOTZhNDBkMTBiY2Q5N2U3YjQwNjYyZGE1MyIsInRhZyI6IiJ9&standardNumber=IS%20455:1989,cement,Not Available,Building Materials including Paints,"Cement, concrete and Allied Products",Cement and its Testing,"Ministry of Commerce and Industry - Department for Promotion of Industry and Internal Trade (DPIIT), Ministry of Housing and Urban Affairs",Portland Slag Cement,Mandatory Certification,"portland slag cement - specification. building materials including paints. cement, concrete and allied products. cement and its testing. portland slag cement. civil engineering department(ced). ced 02 - cement and concrete. product specification. ministry of commerce and industry - department for promotion of industry and internal trade (dpiit), ministry of housing and urban affairs",0.54889464,17
IS 1489 (Part 2):2015,Portland Pozzolana Cement - Specification: Part 2 Calcined Clay Based (Fourth Revision),2025.0,Current,Civil Engineering Department(CED),CED 02 - Cement And Concrete,04,No amendment issued,Product Specification,"Dec, 2025",https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IjU3M0I4bFFNckYrOG9PSHNEd3JCbGc9PSIsInZhbHVlIjoiZllzQU5ZZGJpODFyT2pBeHVnaFpHQT09IiwibWFjIjoiOWUxZTAxNGIxN2I2MDZmMDYzODk4NDE1MzNhZGM5NGYyZGY4ODViNjVlOWFhZmQ2MzY4NzdlN2IwYzFmMDBkOCIsInRhZyI6IiJ9&standardNumber=IS%201489%20(Part%202):2015,cement,Not Available,Building Materials including Paints,"Cement, concrete and Allied Products",Cement and its Testing,Ministry of Commerce and Industry - Department for Promotion of Industry and Internal Trade (DPIIT),PPC - Calcined clay based,Mandatory Certification,"portland pozzolana cement - specification: part 2 calcined clay based (fourth revision). building materials including paints. cement, concrete and allied products. cement and its testing. ppc - calcined clay based. civil engineering department(ced). ced 02 - cement and concrete. product specification. ministry of commerce and industry - department for promotion of industry and internal trade (dpiit)",0.5465627,18
IS 12600:1989,"Portland Cement, Low Heat - specification",2024.0,Current,Civil Engineering Department(CED),CED 02 - Cement And Concrete,New Standard,05,Product Specification,"Mar, 2024",https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6ImVsQk5zZ2dCVjdwUzZDaUcvR25JdkE9PSIsInZhbHVlIjoiU0FwVkJwcjZNNTRaOXljcTRjUDdJQT09IiwibWFjIjoiN2RhMTRiZDgxZjcyZDI3MzUwM2YyZTNlNDAxNTMyYjUzYzE1NGFjYzY4NTM5NjYzNTc0NTVkMDc3NmVhMTBjMSIsInRhZyI6IiJ9&standardNumber=IS%2012600:1989,cement,Not Available,Building Materials including Paints,"Cement, concrete and Allied Products",Cement and its Testing,"Ministry of Commerce and Industry - Department for Promotion of Industry and Internal Trade (DPIIT), Ministry of Housing and Urban Affairs",Specification for low heat Portland cement,Unknown,"portland cement, low heat - specification. building materials including paints. cement, concrete and allied products. cement and its testing. specification for low heat portland cement. civil engineering department(ced). ced 02 - cement and concrete. product specification. ministry of commerce and industry - department for promotion of industry and internal trade (dpiit), ministry of housing and urban affairs",0.54249436,19
IS 1489 (Part 1):2015,Portland Pozzolana Cement - Specification: Part 1 fly Ash Based (Fourth Revision),2025.0,Current,Civil Engineering Department(CED),CED 02 - Cement And Concrete,04,01,Product Specification,"Dec, 2025",https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IkVRS0E0TGtSbnc2ZjRtbUYva1k2S1E9PSIsInZhbHVlIjoiTExpcXh5OFBzWVc5QkZJVVhtL2xqZz09IiwibWFjIjoiYTc5Njc2NmU1Njk5ODhjOGQ5OTFkY2Q0MDlhYWY0ZGNlZDVhM2Q2OTE1Y2FiOTg1YzU1ZDkwOWI0YjVjNjgxZSIsInRhZyI6IiJ9&standardNumber=IS%201489%20(Part%201)%20%20:%202015,cement,Not Available,Building Materials including Paints,"Cement, concrete and Allied Products",Cement and its Testing,Ministry of Commerce and Industry - Department for Promotion of Industry and Internal Trade (DPIIT),PPC- Fly Ash Based,Mandatory Certification,"portland pozzolana cement - specification: part 1 fly ash based (fourth revision). building materials including paints. cement, concrete and allied products. cement and its testing. ppc- fly ash based. civil engineering department(ced). ced 02 - cement and concrete. product specification. ministry of commerce and industry - department for promotion of industry and internal trade (dpiit)",0.5349231,20
IS 1489 (Part 1):1991,Specification for Portland pozzolana cement Part 1 Flyash based,Unknown,Withdrawn,Civil Engineering Department(CED),CED 02 - Cement And Concrete,03,05,Product Specification,"Jan, 2009",https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6Imx4cGwwRWhxZnpEVmpuemFZTTN3bmc9PSIsInZhbHVlIjoiMWZsV25jbXVnOGhFSldKMkRpNzIzZz09IiwibWFjIjoiMzkwZjllMThhZmE1ZDU3NGE2ZDU2NmVjNTg2NzUzMjI1ZmVjZTNmMDRkMTQwMmE0OGYwNThjM2E3MmM2YTg2MyIsInRhZyI6IiJ9&standardNumber=IS%201489%20(Part%201):1991,cement,Not Available,Building Materials including Paints,"Cement, concrete and Allied Products",Cement and its Testing,Ministry of Commerce and Industry - Department for Promotion of Industry and Internal Trade (DPIIT),PPC- Fly Ash Based,Mandatory Certification,"specification for portland pozzolana cement part 1 flyash based. building materials including paints. cement, concrete and allied products. cement and its testing. ppc- fly ash based. civil engineering department(ced). ced 02 - cement and concrete. product specification. ministry of commerce and industry - department for promotion of industry and internal trade (dpiit)",0.5319099,21
IS 1489 (Part 2):1991,Specification for Portland-pozzolana cement Part 2 calcined clay based,Unknown,Withdrawn,Civil Engineering Department(CED),CED 02 - Cement And Concrete,03,04,Product Specification,"Jan, 2009",https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IndNa0xUQVpicU9BRWhnTE1teENuUEE9PSIsInZhbHVlIjoiT1NoODI1c1JYRUVYcWNsOGVGZHNIUT09IiwibWFjIjoiYWI3NTg4YjUxNTU1YjdjMjgyODhhZjA5ZjA1ZDJjMmYzMzZhYjRlZTQ1ZDM2ODk5MjI1OTgzODhkNmQ3NTdjYiIsInRhZyI6IiJ9&standardNumber=IS%201489%20(Part%202):1991,cement,Not Available,Building Materials including Paints,"Cement, concrete and Allied Products",Cement and its Testing,Ministry of Commerce and Industry - Department for Promotion of Industry and Internal Trade (DPIIT),PPC - Calcined clay based,Mandatory Certification,"specification for portland-pozzolana cement part 2 calcined clay based. building materials including paints. cement, concrete and allied products. cement and its testing. ppc - calcined clay based. civil engineering department(ced). ced 02 - cement and concrete. product specification. ministry of commerce and industry - department for promotion of industry and internal trade (dpiit)",0.52633166,22
IS 1298:1958,Methods of test for determination of free lime in portland cement,Unknown,Withdrawn,Civil Engineering Department(CED),CED 02 - Cement And Concrete,New Standard,No amendment issued,Unknown,--,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6Ik1rUG1GdlBzVFlFOGp4TmkySmM5eVE9PSIsInZhbHVlIjoiZmVWK2ZudXhVMzNRaVpOcmpzVTVqdz09IiwibWFjIjoiYzJiYzM5YWVhYWUwMDgwYzdhNDlhZDIzNWNhZDY0M2NmMjc2NWNlMmE1YTYwMzc2Yzg2ZjcyNWViOWZiMDFiNCIsInRhZyI6IiJ9&standardNumber=IS%201298:1958,cement,Not Available,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,methods of test for determination of free lime in portland cement. civil engineering department(ced). ced 02 - cement and concrete,0.5261973,23
IS/ISO 9917 (Part 1):2007,Dentistry — Water-Based Cements Part 1 Powder/Liquid Acid-Base Cements ( First Revision ),Unknown,Unknown,Medical Equipment And Hospital Planning Department(MHD),MHD 08 - Dentistry,01,No amendment issued,Product Specification,--,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6InNxNmtBL1Q4dUtJTHkwdC95TUovZ0E9PSIsInZhbHVlIjoiWUh6eVlqK0FhSjhkUEdneGpvblVsUT09IiwibWFjIjoiMWJlNmRlOWNhNmEwNThiZDFkNTBiYjhjZDAxNzk4Y2ViOTQwOWM0MzNiMTE0NWUwNzBhYTFlMjAxYzlkNjFhMiIsInRhZyI6IiJ9&standardNumber=IS%2FISO%209917%20(Part%201):2007,cement,Not Available,Medical and Hospital Equipments,Dentistry instruments/equipment and accessories,Filling and restorative materials,Ministry of Health and Family Welfare,Dentistry - Water-based cement Powder/liquid acid-base cements for filling,Unknown,dentistry — water-based cements part 1 powder/liquid acid-base cements ( first revision ). medical and hospital equipments. dentistry instruments/equipment and accessories. filling and restorative materials. dentistry - water-based cement powder/liquid acid-base cements for filling. medical equipment and hospital planning department(mhd). mhd 08 - dentistry. product specification. ministry of health and family welfare,0.5213754,24
IS 5498:1969,Lime-cement-cinder hollow concrete blocks,Unknown,Withdrawn,Civil Engineering Department(CED),CED 04 - Building Limes And Gypsum Products,New Standard,No amendment issued,Unknown,--,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IkZZUGQxSkJkTVpldk5KWkRORzFLZ3c9PSIsInZhbHVlIjoiYXk4TW02QU5vMjdVby80WXNSS21xZz09IiwibWFjIjoiZDQ4ZGY3NTk0Yzg0NWU4YThlNDI1OGQyZjI5NWYzNjBhZjM3ZTZjMGI4YTA0YTcwZDM2NzRiYjA3MGQ4MTM4MCIsInRhZyI6IiJ9&standardNumber=IS%205498:1969,concrete,Not Available,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,lime-cement-cinder hollow concrete blocks. civil engineering department(ced). ced 04 - building limes and gypsum products,0.5211381,25
IS 5498:1969,Lime-cement-cinder hollow concrete blocks,Unknown,Withdrawn,Civil Engineering Department(CED),CED 04 - Building Limes And Gypsum Products,New Standard,No amendment issued,Unknown,--,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6ImszZTVxV095SG9oaVVxK0pubXhXQ0E9PSIsInZhbHVlIjoiTUxKZG10dWxNZFZWd1JsUDJQOHRsZz09IiwibWFjIjoiN2FlYTJiNTg5ZGE3OTdiYmIzN2JhYzIyOTY2ZWY1NDEyZjVmZDY5N2QxZTdjZmM4NDFkMGE1NjlmMTY1ZGNjYSIsInRhZyI6IiJ9&standardNumber=IS%205498:1969,cement,Not Available,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,lime-cement-cinder hollow concrete blocks. civil engineering department(ced). ced 04 - building limes and gypsum products,0.5211381,26
