recommended_is_number,recommended_title,related_is_number,related_title,related_status,related_source_url,relationship_type,reviewed_in,relationship_direction
IS 8043:1991,Hydrophobic Portland Cement - Specification (Second Revision),IS 2185 (Part 2):1983,Specification for concrete masonry units: Part 2 hollow and solid lightweight concrete blocks (First Revision),Current,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6ImlJd2cvY2VqSzZvaWlTWlU5Y0xCTXc9PSIsInZhbHVlIjoiUVVSa2JrVTJNKzRFRUcwZWhGZTg4Zz09IiwibWFjIjoiNDFlZWVkMTE4OGZkYWNjYzRkMWI0Yzc1MjMzYTEyZmFkZWJhY2Q3NDVkZDlhNjAxY2Y3NzA3YjVjNjE2Yzk2MCIsInRhZyI6IiJ9&standardNumber=IS%202185%20(Part%202):1983,REFERRED_IN_STANDARD,2025.0,outgoing
IS 8043:1991,Hydrophobic Portland Cement - Specification (Second Revision),IS 2185 (Part 3):1984,Concrete Masonry Units Part 3 Autoclaved Cellular Aerated Concrete Blocks,Current,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6Imt3c2VvZTFHUVRWRmlZOWhjS2hmYmc9PSIsInZhbHVlIjoiZWpWTGxKdXZrdTVXQkhUeXhkMkh5dz09IiwibWFjIjoiZGNiZjYwY2ZmODg0ZDE3ZjgxZjUyYWUwYTQ0ZDA5YTEyNGJkNmIxMWNhMjFkNDRiODk1M2ViMTQ4ODZhNDk5MSIsInRhZyI6IiJ9&standardNumber=IS%202185%20(Part%203):1984,REFERRED_IN_STANDARD,2025.0,outgoing
IS 18189:2023,Portland Calcined Clay Limestone Cement - Specification,IS 16709:2017,"Textiles - Polypropylene (PP) woven, laminated, block bottom valve sacks for packaging of 50 kg cement - Specification",Current,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IlBzL1ZYYUxJU0N5QmNwOVkwaVF4bmc9PSIsInZhbHVlIjoibnJXNHpUQkpwNTE5QVdFamlRb3diZz09IiwibWFjIjoiN2I0NDA2ODk0YzVhN2VmZDFjMDNkMjgyMWI1MjQ1ODc0M2I4NDM4NjAxMGVjODcxODQ1OGRkMDgyM2RmZDVjMCIsInRhZyI6IiJ9&standardNumber=IS%2016709:2017,REFERRED_BY_STANDARD,2026.0,outgoing
IS 18189:2023,Portland Calcined Clay Limestone Cement - Specification,IS 16353:2015,Portland Cement Clinker - Specification,Current,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6ImRPdGcvN2lzeUxZVkVpT2pYQWZiTUE9PSIsInZhbHVlIjoib2RkWjZCTyt1TXFCRDNmSDdYUmVIdz09IiwibWFjIjoiMmJkNjUwNmUzODcyN2Q2Yjg4MWE3YmIxZTI5YjQxNzU4OTBlYTQyOGI4MGVjMzhlMTFkYWUxNTVmZDgxZTU2MiIsInRhZyI6IiJ9&standardNumber=IS%2016353:2015,REFERRED_BY_STANDARD,2025.0,outgoing
IS 18189:2023,Portland Calcined Clay Limestone Cement - Specification,IS 11761:2024,MULTI-WALL PAPER SACKS FOR CEMENT- SPECIFICATION ( Second Revision ),Current,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6InFSbTkwQW5naUFmcVlFTG53S0tjSHc9PSIsInZhbHVlIjoiK1dvS01yRnNuT2JwRTJucUdMSHIrZz09IiwibWFjIjoiNWZlMzU1YzJmZTdiNTliYmNiNjM0YzhhMDhmOTYzZWExZTI1YTgzMTRmNjI5N2JjZDgzYzY5ZWJiN2Y1YjczMyIsInRhZyI6IiJ9&standardNumber=IS%2011761:2024,REFERRED_BY_STANDARD,2024.0,outgoing
IS 18189:2023,Portland Calcined Clay Limestone Cement - Specification,IS 4031 (Part 10):1988,Methods of Physical Tests for Hydraulic Cement: Part 10 Determination of Drying Shrinkage (First Revision),Current,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6Imo3UjFOVW56SWN0ZDFuek9hU2NuWWc9PSIsInZhbHVlIjoiRzYyaGk4TUphaXBnUkRGZ0tSL05WQT09IiwibWFjIjoiY2E2ZTdkYjNiNGRjMjlkNzQ4YmNkNTA4NDY2MzEzN2MwNTUxYzBkYWY4ZmU2NjEzMWNiMTg5MTA2Nzg4MDI5MyIsInRhZyI6IiJ9&standardNumber=IS%204031%20(Part%2010):1988,REFERRED_BY_STANDARD,2024.0,outgoing
IS 18189:2023,Portland Calcined Clay Limestone Cement - Specification,IS 4031 (Part 3):1988,Methods of Physical Tests for Hydraulic Cement: Part 3 Determination of Soundness (First Revision),Current,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6InBWNXBjVGMycHlSeEdzQzNJRVBZWmc9PSIsInZhbHVlIjoiMHZmVWpESGJIUmpFRmFrcnhONk5ZZz09IiwibWFjIjoiOWI0MTkyMmI1ZTQwNmE0YWJkYThkZWFiNDNkMGY0MDU3ZWViYWFiOWJjMjVkYTM0Y2VkYzkxMmZiZmYyYmNmMSIsInRhZyI6IiJ9&standardNumber=IS%204031%20(Part%203):1988,REFERRED_BY_STANDARD,2024.0,outgoing
IS 1489 (Part 2):2015,Portland Pozzolana Cement - Specification: Part 2 Calcined Clay Based (Fourth Revision),IS 12423:1988,Method for Colorimetric analysis of Hydraulic Cement,Current,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6ImtZSUxTWkJKTkxxcHhhS1NwRmVFZ1E9PSIsInZhbHVlIjoiRU4vdVc1cEliRDVxTGxFRU05bE8rUT09IiwibWFjIjoiZjRhMzE2NTAwNzg4OGVjYWI0MjQ2MWI5ZmQ5ZGM3ZDAxMjZiZTlhNTEyMzcyMDAyN2MzNDNjYTY2MGJlODY0YiIsInRhZyI6IiJ9&standardNumber=IS%2012423:1988,REFERRED_BY_STANDARD,2026.0,outgoing
IS 1489 (Part 2):2015,Portland Pozzolana Cement - Specification: Part 2 Calcined Clay Based (Fourth Revision),IS 14835:2000,Guidelines for estimating unit rate of items of works in construction of rubble masonry for river valley projects,Current,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IndCbktoQytBYWtLRXdlUzA2bzBFUGc9PSIsInZhbHVlIjoiWUZUNmRNT0R1a2dLbTh6UlBLNC9adz09IiwibWFjIjoiZmM3YzA1NTJjNjE0OTgxNzQ2NWNjN2FmZmUzNWI1MmI1YzNhNjA5YzU1NzZlNTkzOWExOWY4YmMwNWFjYWE2OSIsInRhZyI6IiJ9&standardNumber=IS%2014835:2000,REFERRED_IN_STANDARD,2026.0,outgoing
IS 1489 (Part 2):2015,Portland Pozzolana Cement - Specification: Part 2 Calcined Clay Based (Fourth Revision),IS 2911 (Part 3):2021,Design and construction of pile foundations - Code of practice: Part 3 Under-reamed piles (second revision),Current,https://standards.bis.gov.in/website/standard-details?encryptedId=eyJpdiI6IlFRVDRNVnVkOVVqbXNpYTlIdktpV1E9PSIsInZhbHVlIjoidWpsSTBDbTZYVHo5UktZTS82OG5vdz09IiwibWFjIjoiMjQwZGM1MDhhY2NlNGQ4ZjQ3YjcwYTU1OGMxZTAwMGY3MWFkY2IzZGE5MTI1ZjQ3MmFiZTRiZDg1ZjFlZDg0MCIsInRhZyI6IiJ9&standardNumber=IS%202911%20(Part%203):2021,REFERRED_IN_STANDARD,2026.0,outgoing
